1neoconnect.aero.	3600	in	ns	a24-64.akam.net.
1neoconnect.aero.	3600	in	ns	a3-67.akam.net.
1neoconnect.aero.	3600	in	ns	a4-66.akam.net.
1neoconnect.aero.	3600	in	ns	a7-66.akam.net.
1sky.aero.	3600	in	ns	standard3.encirca.net.
1sky.aero.	3600	in	ns	standard4.encirca.net.
1st.aero.	3600	in	ns	ns1.dotster.com.
1st.aero.	3600	in	ns	ns2.dotster.com.
1stchoice.aero.	3600	in	ns	ns1.101domain.com.
1stchoice.aero.	3600	in	ns	ns2.101domain.com.
1stchoice.aero.	3600	in	ns	ns5.101domain.com.
1stsource.aero.	3600	in	ns	leo.ns.cloudflare.com.
1stsource.aero.	3600	in	ns	margaret.ns.cloudflare.com.
1time.aero.	3600	in	ns	buck.ns.cloudflare.com.
1time.aero.	3600	in	ns	leah.ns.cloudflare.com.
1vision.aero.	3600	in	ns	osmar.ns.cloudflare.com.
1vision.aero.	3600	in	ns	yolanda.ns.cloudflare.com.
1visionaviation.aero.	3600	in	ns	standard3.encirca.net.
1visionaviation.aero.	3600	in	ns	standard4.encirca.net.
206.aero.	3600	in	ns	ns1.101domain.com.
206.aero.	3600	in	ns	ns2.101domain.com.
206.aero.	3600	in	ns	ns5.101domain.com.
24-7.aero.	3600	in	ns	ns-de.1and1-dns.biz.
24-7.aero.	3600	in	ns	ns-de.1and1-dns.com.
24-7.aero.	3600	in	ns	ns-de.1and1-dns.de.
24-7.aero.	3600	in	ns	ns-de.1and1-dns.org.
247.aero.	3600	in	ns	ns1.khashb.com.
247.aero.	3600	in	ns	ns2.khashb.com.
2asgh.aero.	3600	in	ns	ns1.routing.net.
2asgh.aero.	3600	in	ns	ns2.routing.net.
2asgh.aero.	3600	in	ns	ns3.routing.net.
2c.aero.	3600	in	ns	ns-103-b.gandi.net.
2c.aero.	3600	in	ns	ns-67-a.gandi.net.
2c.aero.	3600	in	ns	ns-92-c.gandi.net.
2e-systems.aero.	3600	in	ns	ns1.domaindiscount24.net.
2e-systems.aero.	3600	in	ns	ns2.domaindiscount24.net.
2e-systems.aero.	3600	in	ns	ns3.domaindiscount24.net.
2es.aero.	3600	in	ns	ns1.domaindiscount24.net.
2es.aero.	3600	in	ns	ns2.domaindiscount24.net.
2es.aero.	3600	in	ns	ns3.domaindiscount24.net.
2fly.aero.	3600	in	ns	ns1.openprovider.nl.
2fly.aero.	3600	in	ns	ns2.openprovider.be.
2fly.aero.	3600	in	ns	ns3.openprovider.eu.
2gcpd1l766sli96mv2og0ampkhgn0sk6.aero.	3600	in	nsec3	1 1 0 73 2VNRV7O5R4GR8K8DNOQJD9VU2NJ847GS NS DS RRSIG
2gcpd1l766sli96mv2og0ampkhgn0sk6.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. jog2j68MNeglhJFniwBwqETRFK3Ei/UCkzbEkxL8OxwXb9kFpI0RAfibZc0Mi6YwBU5bnTzfVDHSvXxCZVILvLJuPDgb7ijeIC1Z2LYSrjcQNuB0+XdrDO2t91+bjEgABJD9TdFc1H2IHbLSfY6aQObjhQ1ksdfg3fLxXNaxcRc=
2monkeys.aero.	3600	in	ns	harlan.ns.cloudflare.com.
2monkeys.aero.	3600	in	ns	joselyn.ns.cloudflare.com.
2top.aero.	3600	in	ns	ns1.timeweb.ru.
2top.aero.	3600	in	ns	ns2.timeweb.ru.
2top.aero.	3600	in	ns	ns3.timeweb.org.
2top.aero.	3600	in	ns	ns4.timeweb.org.
2vnrv7o5r4gr8k8dnoqjd9vu2nj847gs.aero.	3600	in	nsec3	1 1 0 73 360C9K4HHGM7F1SC58PJMIGR921D850H NS DS RRSIG
2vnrv7o5r4gr8k8dnoqjd9vu2nj847gs.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. NcEgFWbFb0gCmWdjjQlI+6uEs91Joo9PJj073RKq9UthRkjC2pNqMd+wWEDlnPOruyTg/aZsq6+Jml19kuOwAtYoP5ew01gQFuwtM7rylVBeUR1Xbd7g8F8Gizehys7SIzFGKHrYPdp9D9lSrMSS/GCxcyuqwVnVm6kkyMLqJVM=
30west.aero.	3600	in	ns	ns1.prxy.net.
30west.aero.	3600	in	ns	ns2.prxy.net.
30west.aero.	3600	in	ns	ns3.prxy.net.
30west.aero.	3600	in	ns	ns4.prxy.net.
320.aero.	3600	in	ns	ns1.101domain.com.
320.aero.	3600	in	ns	ns2.101domain.com.
360aeroservices.aero.	3600	in	ns	ns1.routing.net.
360aeroservices.aero.	3600	in	ns	ns2.routing.net.
360aeroservices.aero.	3600	in	ns	ns3.routing.net.
360c9k4hhgm7f1sc58pjmigr921d850h.aero.	3600	in	nsec3	1 1 0 73 3MPCBKHJGP78VHULM1NSA6KVMNQLP63C NS DS RRSIG
360c9k4hhgm7f1sc58pjmigr921d850h.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. mWsApGov7q3rBzL+H+OvFCb5jUbFhVa7+Oh4D4iMUK3JKyS7LwCEHK4pXWXohIm2BfrVAELbLExR9/Na+c1GqSlIj9xCzPX2bCHAnOW4J1m/UTuCupqOVAHDfzTJWc/8FoBDAQu7jIa4/6ZCQo4kweAZL11/NKh8b+q85Zrykcw=
365.aero.	3600	in	ns	ns0.hostingsystems.co.uk.
365.aero.	3600	in	ns	ns1.hostingsystems.co.uk.
365aerospace.aero.	3600	in	ns	ns0.hostingsystems.co.uk.
365aerospace.aero.	3600	in	ns	ns1.hostingsystems.co.uk.
38999.aero.	3600	in	ns	ns-155-b.gandi.net.
38999.aero.	3600	in	ns	ns-62-c.gandi.net.
