SLD,hostname
afhdfh.schule.,n1.xundns.com.
afhdfh.schule.,n2.xundns.com.
afnmafn.schule.,n1.xundns.com.
afnmafn.schule.,n2.xundns.com.
afrank.schule.,ns1.iserv.eu.
afrank.schule.,ns2.iserv.eu.
afrank.schule.,ns3.iserv.eu.
afrank.schule.,ns4.iserv.eu.
afrika.schule.,ns1.hosting.de.
afrika.schule.,ns2.hosting.de.
afrika.schule.,ns3.hosting.de.
afs-gt.schule.,ns1.iserv.eu.
afs-gt.schule.,ns2.iserv.eu.
afs-gt.schule.,ns3.iserv.eu.
afs-gt.schule.,ns4.iserv.eu.
afs-ratingen.schule.,ns1046.ui-dns.de.
afs-ratingen.schule.,ns1069.ui-dns.org.
afs-ratingen.schule.,ns1088.ui-dns.com.
afs-ratingen.schule.,ns1115.ui-dns.biz.
afso.schule.,ns.inwx.de.
afso.schule.,ns2.inwx.de.
afso.schule.,ns3.inwx.eu.
afsv-gt.schule.,ns1.iserv.eu.
afsv-gt.schule.,ns2.iserv.eu.
afsv-gt.schule.,ns3.iserv.eu.
afsv-gt.schule.,ns4.iserv.eu.
agb-loehne.schule.,ns01.1blu.de.
agb-loehne.schule.,ns02.1blu.de.
agb.schule.,ns01.1blu.de.
agb.schule.,ns02.1blu.de.
agbcpd.schule.,ns1.dns.com.
agbcpd.schule.,ns2.dns.com.
agbdcp.schule.,ns1.dns.com.
agbdcp.schule.,ns2.dns.com.
agbdph.schule.,ns1.dns.com.
agbdph.schule.,ns2.dns.com.
agcbpd.schule.,ns1.dns.com.
agcbpd.schule.,ns2.dns.com.
agent.schule.,ns3.epik.com.
agent.schule.,ns4.epik.com.
agi.schule.,ns07.domaincontrol.com.
agi.schule.,ns08.domaincontrol.com.
agile-macht.schule.,ns.udag.de.
agile-macht.schule.,ns.udag.net.
agile-macht.schule.,ns.udag.org.
agile.schule.,docks13.rzone.de.
agile.schule.,shades03.rzone.de.
agjap.schule.,ns1.dns.com.
agjap.schule.,ns2.dns.com.
agodx.schule.,n1.xundns.com.
agodx.schule.,n2.xundns.com.
agtap.schule.,ns1.1233dns.com.
agtap.schule.,ns2.951dns.com.
ahbcgp.schule.,ns1.dns.com.
ahbcgp.schule.,ns2.dns.com.
ahfs.schule.,ns-de.1and1-dns.biz.
ahfs.schule.,ns-de.1and1-dns.com.
ahfs.schule.,ns-de.1and1-dns.de.
ahfs.schule.,ns-de.1and1-dns.org.
ahlen.schule.,docks08.rzone.de.
ahlen.schule.,shades06.rzone.de.
ahs-pfinztal.schule.,ns1.iserv.eu.
ahs-pfinztal.schule.,ns2.iserv.eu.
