SLD,hostname
203ktoday.school.,ns1.startlogic.com.
203ktoday.school.,ns2.startlogic.com.
2040.school.,ns07.domaincontrol.com.
2040.school.,ns08.domaincontrol.com.
2050.school.,dns100.ovh.net.
2050.school.,ns100.ovh.net.
2080.school.,ns05.domaincontrol.com.
2080.school.,ns06.domaincontrol.com.
21.school.,ns1.afternic.com.
21.school.,ns2.afternic.com.
2101.school.,ns1.accountsupport.com.
2101.school.,ns2.accountsupport.com.
214.school.,ns1.openprovider.nl.
214.school.,ns2.openprovider.be.
214.school.,ns3.openprovider.eu.
218.school.,aida.ns.cloudflare.com.
218.school.,cody.ns.cloudflare.com.
21c.school.,ns3.a2hosting.com.
21c.school.,ns4.a2hosting.com.
21century.school.,ns.hostpoint.ch.
21century.school.,ns2.hostpoint.ch.
21century.school.,ns3.hostpoint.ch.
21e8.school.,ns1.vercel-dns.com.
21e8.school.,ns2.vercel-dns.com.
21konline.school.,ns71.domaincontrol.com.
21konline.school.,ns72.domaincontrol.com.
21kschool.school.,ns31.domaincontrol.com.
21kschool.school.,ns32.domaincontrol.com.
21stcentury.school.,ns184.mschosting.com.
21stcentury.school.,ns185.mschosting.com.
21stcentury.school.,ns186.mschosting.com.
22.school.,dns3.hichina.com.
22.school.,dns4.hichina.com.
23.school.,ns1.afternic.com.
23.school.,ns2.afternic.com.
23win.school.,leah.ns.cloudflare.com.
23win.school.,mitch.ns.cloudflare.com.
24.school.,ns65.domaincontrol.com.
24.school.,ns66.domaincontrol.com.
247.school.,ns33.domaincontrol.com.
247.school.,ns34.domaincontrol.com.
247charter.school.,curitiba.ns.porkbun.com.
247charter.school.,fortaleza.ns.porkbun.com.
247charter.school.,maceio.ns.porkbun.com.
247charter.school.,salvador.ns.porkbun.com.
247elementary.school.,curitiba.ns.porkbun.com.
247elementary.school.,fortaleza.ns.porkbun.com.
247elementary.school.,maceio.ns.porkbun.com.
247elementary.school.,salvador.ns.porkbun.com.
247high.school.,curitiba.ns.porkbun.com.
247high.school.,fortaleza.ns.porkbun.com.
247high.school.,maceio.ns.porkbun.com.
247high.school.,salvador.ns.porkbun.com.
247hw.school.,dns1.registrar-servers.com.
247hw.school.,dns2.registrar-servers.com.
247juniorhigh.school.,curitiba.ns.porkbun.com.
247juniorhigh.school.,fortaleza.ns.porkbun.com.
247juniorhigh.school.,maceio.ns.porkbun.com.
247juniorhigh.school.,salvador.ns.porkbun.com.
247middle.school.,curitiba.ns.porkbun.com.
247middle.school.,fortaleza.ns.porkbun.com.
247middle.school.,maceio.ns.porkbun.com.
247middle.school.,salvador.ns.porkbun.com.
24hourhigh.school.,curitiba.ns.porkbun.com.
24hourhigh.school.,fortaleza.ns.porkbun.com.
24hourhigh.school.,maceio.ns.porkbun.com.
24hourhigh.school.,salvador.ns.porkbun.com.
24orm.school.,ns1.expired.reg.ru.
24orm.school.,ns2.expired.reg.ru.
24up.school.,ns1.register.it.
24up.school.,ns2.register.it.
24x7.school.,dns1.bigrock.in.
24x7.school.,dns2.bigrock.in.
24x7.school.,dns3.bigrock.in.
24x7.school.,dns4.bigrock.in.
2600.school.,dns106.ovh.net.
2600.school.,ns106.ovh.net.
298.school.,ns1.openprovider.nl.
298.school.,ns2.openprovider.be.
298.school.,ns3.openprovider.eu.
29g.school.,ns1.wpx.ne.jp.
29g.school.,ns2.wpx.ne.jp.
29g.school.,ns3.wpx.ne.jp.
2b2t.school.,dns1.registrar-servers.com.
2b2t.school.,dns2.registrar-servers.com.
2d.school.,ns05.domaincontrol.com.
2d.school.,ns06.domaincontrol.com.
2danimation.school.,ns05.domaincontrol.com.
2danimation.school.,ns06.domaincontrol.com.
2day.school.,ns1.timeweb.ru.
2day.school.,ns2.timeweb.ru.
2day.school.,ns3.timeweb.org.
2day.school.,ns4.timeweb.org.
2e.school.,curitiba.ns.porkbun.com.
2e.school.,fortaleza.ns.porkbun.com.
2e.school.,maceio.ns.porkbun.com.
2e.school.,salvador.ns.porkbun.com.
2enjoy.school.,ns-109-c.gandi.net.
2enjoy.school.,ns-170-a.gandi.net.
2enjoy.school.,ns-5-b.gandi.net.
2hr.school.,ns-1005.awsdns-61.net.
2hr.school.,ns-1395.awsdns-46.org.
2hr.school.,ns-1786.awsdns-31.co.uk.
2hr.school.,ns-449.awsdns-56.com.
2hrlearning.school.,ns-1206.awsdns-22.org.
2hrlearning.school.,ns-1660.awsdns-15.co.uk.
2hrlearning.school.,ns-49.awsdns-06.com.
2hrlearning.school.,ns-960.awsdns-56.net.
2kk.school.,ns1.digitalocean.com.
2kk.school.,ns2.digitalocean.com.
2kk.school.,ns3.digitalocean.com.
2nd.school.,dns01.gmoserver.jp.
2nd.school.,dns02.gmoserver.jp.
2sigma.school.,ns-cloud-e1.googledomains.com.
2sigma.school.,ns-cloud-e2.googledomains.com.
2sigma.school.,ns-cloud-e3.googledomains.com.
2sigma.school.,ns-cloud-e4.googledomains.com.
2x.school.,ns71.domaincontrol.com.
2x.school.,ns72.domaincontrol.com.
2x2.school.,ns1.reg.ru.
2x2.school.,ns2.reg.ru.
2xbet.school.,ns27.domaincontrol.com.
2xbet.school.,ns28.domaincontrol.com.
3.school.,ns63.domaincontrol.com.
3.school.,ns64.domaincontrol.com.
30.school.,a.dns.gandi.net.
30.school.,b.dns.gandi.net.
30.school.,c.dns.gandi.net.
301.school.,ns1.afternic.com.
301.school.,ns2.afternic.com.
30soo.school.,ns1.greenhost.nl.
30soo.school.,ns2.greenhost.net.
30soo.school.,ns3.greenhost.nl.
30su.school.,ns1.greenhost.nl.
30su.school.,ns2.greenhost.net.
30su.school.,ns3.greenhost.nl.
312.school.,ns-129.awsdns-16.com.
312.school.,ns-1293.awsdns-33.org.
312.school.,ns-1972.awsdns-54.co.uk.
312.school.,ns-595.awsdns-10.net.
313.school.,ns1-coming-soon.sav.com.
313.school.,ns2-coming-soon.sav.com.
315.school.,dns1.registrar-servers.com.
315.school.,dns2.registrar-servers.com.
321.school.,dns19.hichina.com.
321.school.,dns20.hichina.com.
329715.school.,ns1.dns.com.
329715.school.,ns2.dns.com.
33.school.,ns1.dan.com.
33.school.,ns2.dan.com.
3310.school.,nsn1.mijndomein.nl.
3310.school.,nsn2.mijndomein.nl.
333.school.,ns-cloud-a1.googledomains.com.
333.school.,ns-cloud-a2.googledomains.com.
333.school.,ns-cloud-a3.googledomains.com.
333.school.,ns-cloud-a4.googledomains.com.
33win.school.,matias.ns.cloudflare.com.
33win.school.,sasha.ns.cloudflare.com.
35.school.,ns1-show.myhostadmin.net.
35.school.,ns2-show.myhostadmin.net.
35mm.school.,ns-1459.awsdns-54.org.
35mm.school.,ns-1982.awsdns-55.co.uk.
35mm.school.,ns-321.awsdns-40.com.
35mm.school.,ns-755.awsdns-30.net.
35th.school.,ns-cloud-e1.googledomains.com.
35th.school.,ns-cloud-e2.googledomains.com.
35th.school.,ns-cloud-e3.googledomains.com.
35th.school.,ns-cloud-e4.googledomains.com.
360.school.,ns1.atom.com.
360.school.,ns2.atom.com.
360edu.school.,ns1.freehosting.com.
360edu.school.,ns2.freehosting.com.
365.school.,ns25.domaincontrol.com.
365.school.,ns26.domaincontrol.com.
